Date,Open,High,Low,Close,Volume,Change
1993-06-29,45.21875,45.21875,45.0,45.0625,207500,-0.004830917874396135
1993-06-30,45.125,45.21875,45.0,45.0625,437600,0.0
1993-07-01,45.125,45.125,44.875,44.9375,605700,-0.0027739251040221915
1993-07-02,44.78125,44.8125,44.53125,44.6875,285400,-0.005563282336578581
1993-07-06,44.625,44.75,44.15625,44.21875,246400,-0.01048951048951049
1993-07-07,44.1875,44.40625,44.1875,44.34375,343700,0.0028268551236749115
1993-07-08,44.375,44.9375,44.3125,44.84375,248200,0.01127554615926709
1993-07-09,44.84375,44.96875,44.75,44.96875,378200,0.0027874564459930314
1993-07-12,44.90625,44.96875,44.84375,44.9375,373700,-0.0006949270326615705
1993-07-13,44.96875,45.09375,44.65625,44.90625,389600,-0.0006954102920723226
1993-07-14,44.9375,45.1875,44.90625,45.0625,617300,0.003479471120389701
1993-07-15,45.03125,45.03125,44.78125,44.875,443800,-0.004160887656033287
1993-07-16,44.90625,44.9375,44.6875,44.75,216400,-0.002785515320334262
1993-07-19,44.75,44.75,44.59375,44.71875,188200,-0.0006983240223463687
1993-07-20,44.6875,44.84375,44.46875,44.84375,68500,0.002795248078266946
1993-07-21,44.78125,44.8125,44.65625,44.8125,142700,-0.0006968641114982578
1993-07-22,44.75,44.8125,44.5,44.5,632400,-0.00697350069735007
1993-07-23,44.59375,44.71875,44.5625,44.71875,286200,0.0049157303370786515
1993-07-26,44.84375,45.0625,44.84375,44.96875,121300,0.005590496156533892
1993-07-27,45.0,45.03125,44.78125,44.9375,92800,-0.0006949270326615705
1993-07-28,44.84375,44.9375,44.78125,44.84375,30800,-0.002086230876216968
1993-07-29,44.9375,45.21875,44.875,45.09375,331000,0.005574912891986063
1993-07-30,45.09375,45.09375,44.78125,44.84375,75300,-0.005544005544005544
1993-08-02,44.90625,45.125,44.90625,44.96875,41300,0.0027874564459930314
1993-08-03,45.0625,45.1875,44.84375,45.0,81600,0.0006949270326615705
1993-08-04,45.0,45.09375,44.875,45.0,434000,0.0
1993-08-05,45.0,45.0,44.84375,44.90625,36800,-0.0020833333333333333
1993-08-06,45.03125,45.0625,44.90625,44.96875,402300,0.0013917884481558804
